STATUS,RETAILER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
active,Design Lab,166 W Main Street #102,Mesa,AZ,85201,designlabddg.com,,480 321 8081,
active,Derby Farm Flowers & Gardens,454 Massachusetts Avenue,Arlington,MA,2474,www.derby-farm-flowers.com,info@derby-farm-flowers.com,781 643 0842,"Combining the elegance of a European flower shop with the eclectic style of a SoHo boutique, Derby Farm offers a mix of fresh flowers, garden statuary, tools and ornaments, home furnishings and accessories, and a carefully chosen selection of fine soaps and lotions to pamper yourself and your loved ones!"
inactive,Cog & Pearl,190 Fifth Avenue,Brooklyn,NY,11217,cogandpearl.com,,718 623 8200,"Cog & Pearl's gamut of handmade items includes jewelry, personal and home accessories, apparel, and fine art as well as books, cards and the occasional uncategorizable but gotta-have-it thing. We're proud to say the store would be nothing without the wonderful designers whose work makes our work so much fun, and we hope you enjoy perusing the wares we offer."
active,Bungalow,15330 N Hayden Road Suite 120,Scottsdale,AZ,85260,bungalowaz.com,store@bungalowaz.com,480 948 5409,"Vintage treasures are mixed with traditional favorites to create a casual, coastal feel unlike any other. We welcome you to browse the warmth, charm and personality that makes a shopping experience you won’t want to miss."
active,Bon,3022 E Broadway ,Tucson,AZ,85716,www.bon-boutique.com,bonboutique@gmail.com,520 795 2272,"A collection of unique things. Hand picked by mother and daughter, Bonnie & Crystal Flynt. The two of us share a love of things that are well made and well designed. We like a mix...new and old, rough and refined, colorful and dark, east and west...fun and serious. The beauty is in the way it's all put together."
inactive,Blueseeds,4108 E Indian School Road,Phoenix,AZ,85018,blueseeds.net,hello@blueseeds.net,602 952 1342," In 2006, Carla Bonner opened Blueseeds, a unique design firm that allows the client to define their own home. She loves the congenial mix of old and new pieces, giving the traditional design a modern and classical twist. The firm progressed little by little, project by project, and soon became a bespoke shop in the heart of the Arcadia district. “Simplicity” is the most important aspect of our design philosophy. We believe your home should be where you feel most comfortable and at peace. It should be a true reflection of you."
active,Bittersweet Designs,901 Canyon Road ,Sant Fe,NM,,bittersweetdesigns.com,laurie@bittersweetdesings.com,505 490 9066,"Bittersweet Designs is about life’s collage.  It’s about finding new ways every day to celebrate life’s special moments.  Bittersweet crafts journals for thoughts and words, frames for precious photographs, cards and tags for sharing.  Collage finds its way into each piece with vintage wallpapers, flocked prints from India, and silk ribbons alongside rediscovered trims and findings. "
active,Besame Mucho,315 Petronia Street ,Key West,FL,33040,besamemucho.net,,305 294 1928,"Besame Mucho carries luxurious apothecary treasures and home accessories. They search for old-world, tried and true, pure and simple – products you don’t see everyday, but should! "
active,Artefact Design & Salvage,23562 Highway 121,Sonoma,CA,95476,artefactdesignsalvage.com,sales@artefactdesignsalvage.com,707 933 0660,"At Artefact you’ll find rare antique architectural pieces, decorative objects crafted from salvage, large-scale organic forms and exclusive home décor products. Offerings include antique furniture, lighting, mirrors, teak outdoor furniture, garden ornaments and sculpture. We personally travel and gather decorative accessories from the US, Europe and Asia. Closer to home, we include in our collection carefully selected sculpture and paintings from prominent local artists, commissioned pieces and a growing range of pieces designed by founder Dave Allen."
active,Angelic Grove,605 E Grant Street Suite 105,Phoenix,AZ,85004,angelicgrove.com,info@angelicgrove.com,602 462 9700,"Angelic Grove is a boutique studio dedicated to the finest in environmental design. The studio’s unique approach to floral design creates an exquisite environment, where tradition flirts with the edge."
